"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"8/1/2007","$ 260"," $  543,319 ","","","2012-08","0.04","8/1/2006"," $  74,058 "
"9/1/2007","$ 327"," $  689,698 ","","","2012-09","0.29","9/1/2006"," $  71,961 "
"10/1/2007","$ 335"," $  670,449 ","","","2012-10","0.16","10/1/2006"," $  73,216 "
"11/1/2007","$ 322"," $  658,972 ","","","2012-11","-0.14","11/1/2006"," $  68,713 "
"12/1/2007","$ 369"," $  743,397 ","","","2012-12","0.09","12/1/2006"," $  70,082 "
"1/1/2008","$ 371"," $  733,888 ","","","2013-01","0.3","1/1/2007"," $  69,322 "
"2/1/2008","$ 425"," $  810,269 ","","","2013-02","0.44","2/1/2007"," $  62,372 "
"3/1/2008","$ 440"," $  811,861 ","","","2013-03","0.21","3/1/2007"," $  68,288 "
"4/1/2008","$ 362"," $  650,822 ","","","2013-04","0.25","4/1/2007"," $  64,347 "
"5/1/2008","$ 329"," $  585,099 ","","","2013-05","0.28","5/1/2007"," $  62,292 "
"6/1/2008","$ 349"," $  597,473 ","","","2013-06","0.23","6/1/2007"," $  57,706 "
"7/1/2008","$ 328"," $  585,175 ","","","2013-07","0.04","7/1/2007"," $  60,507 "
"8/1/2008","$ 329"," $  608,022 ","","","2013-08","0.08","8/1/2007"," $  63,739 "
"9/1/2008","$ 296"," $  611,263 ","","","2013-09","0.29","9/1/2007"," $  63,401 "
"10/1/2008","$ 237"," $  543,511 ","","","2013-10","-0.26","10/1/2007"," $  62,034 "
"11/1/2008","$ 227"," $  528,183 ","","","2013-11","-0.22","11/1/2007"," $  61,391 "
"12/1/2008","$ 220"," $  500,413 ","","","2013-12","0.26","12/1/2007"," $  62,429 "
"1/1/2009","$ 239"," $  538,461 ","","","2014-01","0.49","1/1/2008"," $  61,479 "
"2/1/2009","$ 225"," $  564,863 ","","","2014-02","0.63","2/1/2008"," $  55,254 "
"3/1/2009","$ 231"," $  574,300 ","","","2014-03","0.39","3/1/2008"," $  57,148 "
"4/1/2009","$ 233"," $  555,267 ","","","2014-04","0.46","4/1/2008"," $  53,853 "
